Datum;Tag;Monat;Stunde;Verbrauch
06.01. 18:00;06;01;18;0,19336
06.01. 19:00;06;01;19;0,20043
06.01. 20:00;06;01;20;0,19762
06.01. 21:00;06;01;21;0,17239
06.01. 22:00;06;01;22;0,11673
06.01. 23:00;06;01;23;0,075125
07.01. 00:00;07;01;00;0,063716
07.01. 01:00;07;01;01;0,039619
07.01. 02:00;07;01;02;0,033074
07.01. 03:00;07;01;03;0,031595
07.01. 04:00;07;01;04;0,031444
07.01. 05:00;07;01;05;0,028511
07.01. 06:00;07;01;06;0,062813
07.01. 07:00;07;01;07;0,082071
07.01. 08:00;07;01;08;0,088641
07.01. 09:00;07;01;09;0,11966
07.01. 10:00;07;01;10;0,16066
07.01. 11:00;07;01;11;0,16958
07.01. 12:00;07;01;12;0,15742
07.01. 13:00;07;01;13;0,15386
07.01. 14:00;07;01;14;0,15973
07.01. 15:00;07;01;15;0,18393
07.01. 16:00;07;01;16;0,20344
07.01. 17:00;07;01;17;0,23287
07.01. 18:00;07;01;18;0,25103
07.01. 19:00;07;01;19;0,24754
07.01. 20:00;07;01;20;0,2418
07.01. 21:00;07;01;21;0,21249
07.01. 22:00;07;01;22;0,15807
07.01. 23:00;07;01;23;0,10544
08.01. 00:00;08;01;00;0,063716
08.01. 01:00;08;01;01;0,039619
08.01. 02:00;08;01;02;0,033074
08.01. 03:00;08;01;03;0,031595
08.01. 04:00;08;01;04;0,031444
08.01. 05:00;08;01;05;0,028511
08.01. 06:00;08;01;06;0,062813
08.01. 07:00;08;01;07;0,082071
08.01. 08:00;08;01;08;0,088641
08.01. 09:00;08;01;09;0,11966
08.01. 10:00;08;01;10;0,16066
08.01. 11:00;08;01;11;0,16958
08.01. 12:00;08;01;12;0,15742
08.01. 13:00;08;01;13;0,15386
08.01. 14:00;08;01;14;0,15973
08.01. 15:00;08;01;15;0,18393
08.01. 16:00;08;01;16;0,20344
08.01. 17:00;08;01;17;0,23287
08.01. 18:00;08;01;18;0,25103
08.01. 19:00;08;01;19;0,24754
08.01. 20:00;08;01;20;0,2418
08.01. 21:00;08;01;21;0,21249
08.01. 22:00;08;01;22;0,15807
08.01. 23:00;08;01;23;0,10544
09.01. 00:00;09;01;00;0,063716
09.01. 01:00;09;01;01;0,039619
09.01. 02:00;09;01;02;0,033074
09.01. 03:00;09;01;03;0,031595
09.01. 04:00;09;01;04;0,031444
09.01. 05:00;09;01;05;0,028511
09.01. 06:00;09;01;06;0,062813
09.01. 07:00;09;01;07;0,082071
09.01. 08:00;09;01;08;0,088641
09.01. 09:00;09;01;09;0,11966
09.01. 10:00;09;01;10;0,16066
09.01. 11:00;09;01;11;0,16958
09.01. 12:00;09;01;12;0,15742
09.01. 13:00;09;01;13;0,15386
09.01. 14:00;09;01;14;0,15973
09.01. 15:00;09;01;15;0,18393
09.01. 16:00;09;01;16;0,20344
09.01. 17:00;09;01;17;0,23287
09.01. 18:00;09;01;18;0,25103
09.01. 19:00;09;01;19;0,24754
09.01. 20:00;09;01;20;0,2418
09.01. 21:00;09;01;21;0,21249
09.01. 22:00;09;01;22;0,15807
09.01. 23:00;09;01;23;0,10544
10.01. 00:00;10;01;00;0,063716
10.01. 01:00;10;01;01;0,039619
10.01. 02:00;10;01;02;0,033074
10.01. 03:00;10;01;03;0,031595
10.01. 04:00;10;01;04;0,031444
10.01. 05:00;10;01;05;0,028511
10.01. 06:00;10;01;06;0,062813
10.01. 07:00;10;01;07;0,082071
10.01. 08:00;10;01;08;0,088641
10.01. 09:00;10;01;09;0,11966
10.01. 10:00;10;01;10;0,16066
10.01. 11:00;10;01;11;0,16958
10.01. 12:00;10;01;12;0,15742
10.01. 13:00;10;01;13;0,15386
10.01. 14:00;10;01;14;0,15973
10.01. 15:00;10;01;15;0,18393
10.01. 16:00;10;01;16;0,20344
10.01. 17:00;10;01;17;0,23287
10.01. 18:00;10;01;18;0,25103
10.01. 19:00;10;01;19;0,24754
10.01. 20:00;10;01;20;0,2418
10.01. 21:00;10;01;21;0,21249
10.01. 22:00;10;01;22;0,15807
10.01. 23:00;10;01;23;0,10544
11.01. 00:00;11;01;00;0,063716
11.01. 01:00;11;01;01;0,039619
11.01. 02:00;11;01;02;0,033074
11.01. 03:00;11;01;03;0,031595
11.01. 04:00;11;01;04;0,031444
11.01. 05:00;11;01;05;0,028511
11.01. 06:00;11;01;06;0,062813
11.01. 07:00;11;01;07;0,082071
11.01. 08:00;11;01;08;0,088641
11.01. 09:00;11;01;09;0,11966
11.01. 10:00;11;01;10;0,16066
11.01. 11:00;11;01;11;0,16958
11.01. 12:00;11;01;12;0,15742
11.01. 13:00;11;01;13;0,15386
11.01. 14:00;11;01;14;0,15973
11.01. 15:00;11;01;15;0,18393
11.01. 16:00;11;01;16;0,20344
11.01. 17:00;11;01;17;0,23287
11.01. 18:00;11;01;18;0,25103
11.01. 19:00;11;01;19;0,24754
11.01. 20:00;11;01;20;0,2418
11.01. 21:00;11;01;21;0,21249
11.01. 22:00;11;01;22;0,15807
11.01. 23:00;11;01;23;0,10544
12.01. 00:00;12;01;00;0,072217
12.01. 01:00;12;01;01;0,047818
12.01. 02:00;12;01;02;0,034453
12.01. 03:00;12;01;03;0,031971
12.01. 04:00;12;01;04;0,031344
12.01. 05:00;12;01;05;0,028561
12.01. 06:00;12;01;06;0,061158
12.01. 07:00;12;01;07;0,070411
12.01. 08:00;12;01;08;0,07485
12.01. 09:00;12;01;09;0,11479
12.01. 10:00;12;01;10;0,16108
12.01. 11:00;12;01;11;0,17688
12.01. 12:00;12;01;12;0,17329
12.01. 13:00;12;01;13;0,18164
12.01. 14:00;12;01;14;0,17894
12.01. 15:00;12;01;15;0,18167
12.01. 16:00;12;01;16;0,19697
12.01. 17:00;12;01;17;0,22259
12.01. 18:00;12;01;18;0,2339
12.01. 19:00;12;01;19;0,22691
12.01. 20:00;12;01;20;0,22006
12.01. 21:00;12;01;21;0,18997
12.01. 22:00;12;01;22;0,1266
12.01. 23:00;12;01;23;0,085281
13.01. 00:00;13;01;00;0,066374
13.01. 01:00;13;01;01;0,049198
13.01. 02:00;13;01;02;0,037437
13.01. 03:00;13;01;03;0,033275
13.01. 04:00;13;01;04;0,032648
13.01. 05:00;13;01;05;0,029965
13.01. 06:00;13;01;06;0,050351
13.01. 07:00;13;01;07;0,053962
13.01. 08:00;13;01;08;0,047192
13.01. 09:00;13;01;09;0,087237
13.01. 10:00;13;01;10;0,13172
13.01. 11:00;13;01;11;0,1484
13.01. 12:00;13;01;12;0,14677
13.01. 13:00;13;01;13;0,1502
13.01. 14:00;13;01;14;0,15527
13.01. 15:00;13;01;15;0,14902
13.01. 16:00;13;01;16;0,15456
13.01. 17:00;13;01;17;0,17776
13.01. 18:00;13;01;18;0,19336
13.01. 19:00;13;01;19;0,20043
13.01. 20:00;13;01;20;0,19762
